regiao,data,temperatura_maxima,temperatura_minima,precipitacao_total,amplitude_termica
Plano Piloto,2025-12-24,26.7,17.5,0.3,9.2
Plano Piloto,2025-12-25,28.0,18.3,0.2,9.7
Plano Piloto,2025-12-26,29.0,18.4,0.0,10.600000000000001
Plano Piloto,2025-12-27,30.1,17.7,0.4,12.400000000000002
Plano Piloto,2025-12-28,28.8,18.3,12.4,10.5
Plano Piloto,2025-12-29,27.7,18.2,0.9,9.5
Plano Piloto,2025-12-30,26.4,17.7,0.9,8.7
Asa Norte,2025-12-24,27.4,18.2,0.3,9.2
Asa Norte,2025-12-25,28.6,19.0,0.2,9.600000000000001
Asa Norte,2025-12-26,29.6,19.1,0.0,10.5
Asa Norte,2025-12-27,30.8,18.4,0.4,12.400000000000002
Asa Norte,2025-12-28,29.5,19.0,12.4,10.5
Asa Norte,2025-12-29,28.4,18.9,0.9,9.5
Asa Norte,2025-12-30,27.1,18.4,0.9,8.700000000000003
Asa Sul,2025-12-24,27.3,18.1,0.3,9.2
Asa Sul,2025-12-25,28.5,18.9,0.2,9.600000000000001
Asa Sul,2025-12-26,29.5,19.0,0.0,10.5
Asa Sul,2025-12-27,30.7,18.2,0.4,12.5
Asa Sul,2025-12-28,29.3,18.9,12.4,10.400000000000002
Asa Sul,2025-12-29,28.2,18.7,0.9,9.5
Asa Sul,2025-12-30,27.0,18.2,0.9,8.8
Taguatinga,2025-12-24,28.1,17.2,0.1,10.900000000000002
Taguatinga,2025-12-25,29.2,18.0,0.7,11.2
Taguatinga,2025-12-26,29.8,16.2,2.8,13.600000000000001
Taguatinga,2025-12-27,31.0,18.0,1.2,13.0
Taguatinga,2025-12-28,29.1,18.6,12.7,10.5
Taguatinga,2025-12-29,29.7,18.8,0.0,10.899999999999999
Taguatinga,2025-12-30,28.3,18.9,0.6,9.400000000000002
Ceilândia,2025-12-24,27.5,16.6,0.1,10.899999999999999
Ceilândia,2025-12-25,28.6,17.4,0.7,11.200000000000003
Ceilândia,2025-12-26,29.2,15.6,2.8,13.6
Ceilândia,2025-12-27,30.4,17.4,1.2,13.0
Ceilândia,2025-12-28,28.5,18.0,12.7,10.5
Ceilândia,2025-12-29,29.1,18.2,0.0,10.900000000000002
Ceilândia,2025-12-30,27.7,18.3,0.6,9.399999999999999
Samambaia,2025-12-24,27.6,16.7,0.1,10.900000000000002
Samambaia,2025-12-25,28.8,17.5,0.7,11.3
Samambaia,2025-12-26,29.4,15.7,2.8,13.7
Samambaia,2025-12-27,30.6,17.6,1.2,13.0
Samambaia,2025-12-28,28.7,18.1,12.7,10.599999999999998
Samambaia,2025-12-29,29.3,18.4,0.0,10.900000000000002
Samambaia,2025-12-30,27.8,18.4,0.6,9.400000000000002
Sobradinho,2025-12-24,27.0,17.9,0.2,9.100000000000001
Sobradinho,2025-12-25,28.2,18.7,0.3,9.5
Sobradinho,2025-12-26,29.4,19.3,0.0,10.099999999999998
Sobradinho,2025-12-27,30.4,18.1,0.3,12.299999999999997
Sobradinho,2025-12-28,29.0,18.3,12.1,10.7
Sobradinho,2025-12-29,27.8,18.8,1.5,9.0
Sobradinho,2025-12-30,27.0,18.0,1.2,9.0
Planaltina,2025-12-24,28.0,18.6,0.2,9.399999999999999
Planaltina,2025-12-25,29.5,20.4,0.2,9.100000000000001
Planaltina,2025-12-26,30.7,20.5,0.0,10.2
Planaltina,2025-12-27,31.7,19.1,0.2,12.599999999999998
Planaltina,2025-12-28,29.8,19.7,11.8,10.100000000000001
Planaltina,2025-12-29,29.1,19.9,2.7,9.200000000000003
Planaltina,2025-12-30,29.0,19.6,0.6,9.399999999999999
Gama,2025-12-24,28.5,16.2,0.0,12.3
Gama,2025-12-25,29.3,16.9,0.3,12.400000000000002
Gama,2025-12-26,31.0,15.8,0.1,15.2
Gama,2025-12-27,31.9,18.1,0.7,13.799999999999997
Gama,2025-12-28,27.9,18.3,9.4,9.599999999999998
Gama,2025-12-29,29.6,17.7,0.0,11.900000000000002
Gama,2025-12-30,28.6,18.1,0.6,10.5
Guará,2025-12-24,27.5,17.8,0.0,9.7
Guará,2025-12-25,28.8,18.2,0.4,10.600000000000001
Guará,2025-12-26,30.2,17.9,0.0,12.3
Guará,2025-12-27,31.3,18.3,0.4,13.0
Guará,2025-12-28,28.5,18.7,13.6,9.8
Guará,2025-12-29,28.5,18.7,0.6,9.8
Guará,2025-12-30,28.2,18.6,1.2,9.599999999999998
Núcleo Bandeirante,2025-12-24,28.0,18.3,0.0,9.7
Núcleo Bandeirante,2025-12-25,29.3,18.6,0.4,10.7
Núcleo Bandeirante,2025-12-26,30.6,18.3,0.0,12.3
Núcleo Bandeirante,2025-12-27,31.7,18.7,0.4,13.0
Núcleo Bandeirante,2025-12-28,29.0,19.2,13.6,9.8
Núcleo Bandeirante,2025-12-29,29.0,19.2,0.6,9.8
Núcleo Bandeirante,2025-12-30,28.7,19.0,1.2,9.7
Paranoá,2025-12-24,26.7,18.3,0.1,8.399999999999999
Paranoá,2025-12-25,28.0,19.5,0.2,8.5
